"","Store #","Address 1","City","fixedState","zip","fullAddress","StateInOrigFile"
"48",322,"2686 E FIRST ST","BLUE RIDGE","GA",30513,"2686 E 1st St, Blue Ridge, GA 30513","GA"
"49",328,"301 E ATLANTIC ST","SOUTH HILL","VA",23970,"301 E Atlantic St, South Hill, VA 23970","VA"
"50",335,"110 W CENTRAL BLVD","ANADARKO","OK",73005,"110 W Central Blvd, Anadarko, OK 73005","OK"
"51",340,"2812 HWY 2565","LOUISA","KY",41230,"2812 KY-2565, Louisa, KY 41230","KY"
"52",350,"241 N GRUNDY QUARLES HWY","GAINESBORO","TN",38562,"241 N Grundy Quarles Hwy, Gainesboro, TN 38562","TN"
"53",358,"1860 CLARKSVILLE ST","PARIS","TX",75460,"1860 Clarksville St, Paris, TX 75460","TX"
"54",374,"310 E BROADWAY AVE","HOPEWELL","VA",23860,"310 E Broadway, Hopewell, VA 23860","VA"
"55",375,"923 N MAIN ST","CHASE CITY","VA",23924,"923 N Main St, Chase City, VA 23924","VA"
"56",382,"13177 JONES ST","LAVONIA","GA",30553,"13177 Jones St, Lavonia, GA 30553","GA"
"57",389,"39 SABINE HALL ROAD","WARSAW","VA",22572,"39 Sabine Hall Rd, Warsaw, VA 22572","IN"
"58",396,"601 S BROADWAY","HOBART","OK",73651,"601 S Broadway Ave, Hobart, OK 73651","OK"
"59",402,"517 W 3RD ST","MOUNTAIN GROVE","MO",65711,"517 W 3rd St, Mountain Grove, MO 65711","MO"
"60",411,"1886 HIGHWAY 21 BYP","MONROEVILLE","AL",36460,"1886 AL-21 Bypass, Monroeville, AL 36460","AL"
"61",419,"120 E WINTHROPE AVE","MILLEN","GA",30442,"120 E Winthrope Ave, Millen, GA 30442","GA"
"62",423,"2514 SMOKEY PARK HWY","CANDLER","NC",28715,"2514 Smokey Park Highway, Candler, NC 28715","NC"
"63",430,"1445 ANDREWS RD","MURPHY","NC",28906,"1445 Andrews Rd, Murphy, NC 28906","NC"
"64",446,"130 W ELK AVE","ELIZABETHTON","TN",37643,"130 W Elk Ave, Elizabethton, TN 37643","TN"
"65",450,"335 SOUTH MAIN ST","CALVERT CITY","KY",42029,"335 S Main St, Calvert City, KY 42029","KY"
"66",458,"2325 SERAN DR","WEWOKA","OK",74884,"2325 Seran Dr, Wewoka, OK 74884","OK"
"67",460,"2083 HIGHWAY 11 S","BEATTYVILLE","KY",41311,"2083 KY-11, Beattyville, KY 41311","KY"
"68",462,"969 VALLEY ST","SCOTTSVILLE","VA",24590,"969 Valley St, Scottsville, VA 24590","KY"
"69",463,"470 S COMMERCE AVE","FRONT ROYAL","VA",22630,"470 S Commerce Ave, Front Royal, VA 22630","VA"
"70",465,"12175 SOMERSET AVENUE","PRINCESS ANNE","MD",21853,"12175 Somerset Ave, Princess Anne, MD 21853","MD"
"71",472,"126 GENERAL PULLER HWY","SALUDA","VA",23149,"126 General Puller Hwy, Saluda, VA 23149","VA"
