"","Store #","Address 1","City","fixedState","zip","fullAddress","StateInOrigFile"
"988",6395,"819 BLUE RIDGE RD","GLASGOW","VA",24555,"819 Blue Ridge Rd, Glasgow, VA 24555","KY"
"989",6396,"1800 NC HIGHWAY 5","ABERDEEN","NC",28315,"1800 NC-5, Aberdeen, NC 28315","MD"
"990",6405,"602 HONEA EGYPT RD","MAGNOLIA","TX",77354,"602 Honea Egypt Rd, Magnolia, TX 77354","TX"
"991",6407,"903 S SUBER RD","GREER","SC",29650,"903 S Suber Rd, Greer, SC 29650","SC"
"992",6408,"3299 LA HWY 78","LIVONIA","LA",70755,"3299 LA-78, Livonia, LA 70755","MI"
"993",6410,"7846 NC HWY 801 S","COOLEEMEE","NC",27028,"7846 NC-801, Mocksville, NC 27028","NC"
"994",6414,"80 EAST MICHIGAN","GALESBURG","MI",49053,"80 E Michigan, Galesburg, MI 49053","IL"
"995",6415,"31101 HIGHWAY 25","WILSONVILLE","AL",35186,"31101 AL-25, Wilsonville, AL 35186","AL"
"996",6431,"6153 SR 28","DUNLAP","TN",37327,"6153 TN-28, Dunlap, TN 37327","TN"
"997",6437,"3391 MAIN ST","MEXICO","NY",13114,"3391 Main St, Mexico, NY 13114","MO"
"998",6441,"315 E HIGHWAY 30","LISBON","IA",52253,"315 US-30, Lisbon, IA 52253","IA"
"999",6455,"924 NE PINE ISLAND RD","CAPE CORAL","FL",33909,"924 NE Pine Island Rd, Cape Coral, FL 33909","FL"
"1000",6456,"116 N MAIN ST","MOUNT MORRIS","NY",14510,"116 N Main St, Mt Morris, NY 14510","NY"
"1001",6463,"1434 COASTAL HWY 98","PANACEA","FL",32346,"1434 Coastal Hwy 98, Panacea, FL 32346","FL"
"1002",6471,"10081 S M 43 HWY","DELTON","MI",49046,"10081 M-43, Delton, MI 49046","MI"
"1003",6484,"1495 W PIERCE ST","CARLSBAD","NM",88220,"1495 W Pierce St, Carlsbad, NM 88220","NM"
"1004",6504,"1790 E BLACKSTOCK RD","MOORE","SC",29369,"1790 E Blackstock Rd, Moore, SC 29369","OK"
"1005",6506,"1800 FRIENDSHIP RD","OXFORD","AL",36203,"1800 Friendship Rd, Oxford, AL 36203","PA"
"1006",6521,"4448 MAIN ST","BROWN CITY","MI",48416,"4448 Main St, Brown City, MI 48416","MI"
"1007",6522,"1200 W 5TH ST","WILTON","IA",52778,"1200 W 5th St, Wilton, IA 52778","IA"
"1008",6523,"557 E HIDALGO AVE","RAYMONDVILLE","TX",78580,"557 E Hidalgo Ave, Raymondville, TX 78580","TX"
"1009",6534,"4625 HIGHWAY 1","NAPOLEONVILLE","LA",70390,"4625 LA-1, Napoleonville, LA 70390","LA"
"1010",6536,"3356 W MAIN ST","LEESBURG","FL",34748,"3356 W Main St, Leesburg, FL 34748","FL"
"1011",6544,"310 N 14TH ST","SARCOXIE","MO",64862,"310 N 14th St, Sarcoxie, MO 64862","MO"
"1012",6546,"55 GRAY RD","CARROLLTON","GA",30117,"55 Marvin Gray Rd, Carrollton, GA 30117","KY"
"1013",6550,"11121 MARKET ST","JACINTO CITY","TX",77029,"11121 Market St, Houston, TX 77029","TX"
"1014",6553,"4511 HWY 15 N","LAUREL","MS",39443,"4511 Highway 15 N, Laurel, MS 39443","MS"
"1015",6558,"6508 CHARLESTON HWY","BOWMAN","SC",29018,"6508 Charleston Hwy, Bowman, SC 29018","SC"
"1016",6568,"9312 NC HIGHWAY 127","BETHLEHEM","NC",28601,"9312 NC-127, Hickory, NC 28601","NC"
"1017",6578,"2440 HWY 190 WEST","SLIDELL","LA",70460,"2440 Hwy 190 W, Slidell, LA 70460","LA"
"1018",6585,"125 CARNEY LANE","WIMBERLEY","TX",78676,"125 Carney Ln, Wimberley, TX 78676","TX"
"1019",6593,"6975 STATE HIGHWAY 94","LUFKIN","TX",75904,"6975 TX-94, Lufkin, TX 75904","TX"
"1020",6595,"330 N WHEELER AVE","PROSPERITY","SC",29127,"330 C R Koon Hwy, Prosperity, SC 29127","SC"
"1021",6597,"102 3RD ST","BENTON","LA",71006,"102 3rd St, Benton, LA 71006","KY"
"1022",6607,"14287 HIGHWAY 21 S","BOGALUSA","LA",70427,"14287 LA-21, Bogalusa, LA 70427","LA"
"1023",6612,"3439 MCGEHEE RD STE C","MONTGOMERY","AL",36111,"3439 McGehee Rd, Montgomery, AL 36111","IL"
"1024",6614,"1640 W THATCHER BLVD","SAFFORD","AZ",85546,"1640 W Thatcher Blvd, Safford, AZ 85546","AZ"
"1025",6619,"2205 W PECAN STREET","PFLUGERVILLE","TX",78660,"2205 W Pecan St, Pflugerville, TX 78660","TX"
"1026",6628,"7335 HIGHWAY 105","BEAUMONT","TX",77713,"7335 TX-105, Beaumont, TX 77713","TX"
"1027",6632,"11802 CHIPPEWA HIGHWAY","BEAR LAKE","MI",49614,"11802 Chippewa Hwy, Bear Lake, MI 49614","MI"
"1028",6637,"610 S US HIGHWAY 141","CRIVITZ","WI",54114,"610 S Us Highway 141, Crivitz, WI 54114","WI"
"1029",6638,"5585 MAHONING AVE NW","WARREN","OH",44483,"5585 Mahoning Ave, Warren, OH 44483","AR"
"1030",6656,"86 OLD MOUNTAIN RD","HIDDENITE","NC",28636,"86 Old Mountain Rd, Hiddenite, NC 28636","NC"
"1031",6660,"103 WILLIAM HARDIN RD","COLUMBIA","SC",29223,"103 William Hardin Rd, Columbia, SC 29223","NC"
"1032",6662,"2315 OLD JEANERETTE RD","NEW IBERIA","LA",70563,"2315 Old Jeanerette Rd, New Iberia, LA 70563","LA"
"1033",6672,"9032 HWY 14","GRAY COURT","SC",29645,"9032 Highway 14, Gray Court, SC 29645","SC"
"1034",6674,"509 W 6TH ST","WAYNESBORO","PA",17268,"509 W 6th St, Waynesboro, PA 17268","PA"
"1035",6675,"124 W PIKE ST","HOUSTON","PA",15342,"124 W Pike St, Houston, PA 15342","TX"
"1036",6676,"6013 US HIGHWAY 98","SEBRING","FL",32404,"6013 US-98, Panama City, FL 32404","FL"
"1037",6679,"4236 STATE ROUTE 44","ROOTSTOWN","OH",44272,"4236 OH-44, Rootstown, OH 44272","OH"
"1038",6683,"300 AZALEA RD","MOBILE","AL",36609,"300 Azalea Rd, Mobile, AL 36609","AL"
"1039",6686,"500 REBEL RD","KYLE","TX",78640,"500 Rebel Dr, Kyle, TX 78640","TX"
"1040",6690,"1212 24TH ST","ELDORA","IA",50627,"1212 24th St, Eldora, IA 50627","IA"
"1041",6694,"13434 FINLEY LN","STAPLETON","AL",36578,"13434 Finley Ln, Stapleton, AL 36578","AL"
"1042",6708,"225 COLONELS DR","COLUMBUS JUNCTION","IA",52738,"225 Colonels Dr, Columbus Junction, IA 52738","IA"
"1043",6709,"100 GAUL DR","SERGEANT BLUFF","IA",51054,"100 Gaul Dr, Sergeant Bluff, IA 51054","IA"
"1044",6713,"358 N ROSS ST","BEAVERTON","MI",48612,"358 Ross St, Beaverton, MI 48612","MI"
"1045",6720,"14 PINE STREET","TENNGA","GA",30711,"14 Pine St N, Crandall, GA 30711","GA"
"1046",6726,"320 S MAIN ST","LEITCHFIELD","KY",42754,"320 S Main St, Leitchfield, KY 42754","KY"
"1047",6732,"555 SOUTH ST SE","WARREN","OH",44483,"555 S St SE, Warren, OH 44483","AR"
"1048",6734,"14138 US HIGHWAY 27 S","WAYNESBURG","KY",40489,"14138 US-27, Waynesburg, KY 40489","PA"
"1049",6736,"24 E ESWIN ST","CINCINNATI","OH",45218,"24 Eswin St, Cincinnati, OH 45218","OH"
"1050",6740,"11351 CUMMING HWY","CANTON","GA",30115,"11351 Cumming Hwy, Canton, GA 30115","MO"
"1051",6744,"12403 KINGSTON PIKE","FARRAGUT","TN",37934,"12403 Kingston Pike, Farragut, TN 37934","TN"
"1052",6752,"1432 MAIN ST","SNEEDVILLE","TN",37869,"1432 Main St, Sneedville, TN 37869","TN"
"1053",6754,"861 W SHAW ST","HOWARD CITY","MI",49329,"861 Shaw St, Howard City, MI 49329","MI"
"1054",6756,"2175 SPRING PLACE RD SE","CLEVELAND","TN",37323,"2175 Spring Place Rd SE, Cleveland, TN 37323","TN"
"1055",6758,"620 CLINCH AVE","CLINTON","TN",37716,"620 Clinch Ave, Clinton, TN 37716","TN"
"1056",6775,"331 E CENTER ST","JUNEAU","WI",53039,"331 E Center St, Juneau, WI 53039","WI"
"1057",6785,"1461 BELL RD","NASHVILLE","TN",37211,"1461 Bell Rd, Nashville, TN 37211","TN"
"1058",6787,"383 S JOHN PAUL RD","MILTON","WI",53563,"383 S John Paul Rd, Milton, WI 53563","WV"
"1059",6789,"1502 W BROADWAY AVE","BLOOMFIELD","NM",87413,"1502 W Broadway Ave, Bloomfield, NM 87413","KY"
"1060",6797,"6466 HIGHWAY 431 S STE 1","HAMPTON COVE","AL",35763,"6466 Highway 431 S Ste 1, Hampton Cove, AL 35763","AL"
"1061",6799,"5114 THOMPSON BRIDGE RD","MURRAYVILLE","GA",30564,"5114 Thompson Bridge Rd, Murrayville, GA 30564","GA"
"1062",6803,"2704 MARTIN ST S","CROPWELL","AL",35054,"2704 Martin St S, Cropwell, AL 35054","AL"
"1063",6806,"1105 S MAIN ST","CUBA CITY","WI",53807,"1105 S Main St, Cuba City, WI 53807","WI"
"1064",6814,"2752 KLONDIKE RD","WEST LAFAYETTE","IN",47906,"2752 Klondike Rd, West Lafayette, IN 47906","IN"
"1065",6821,"3207 MARTIN LUTHER KING J","PHENIX CITY","AL",36869,"3207 Martin Luther King Jr Pkwy S, Phenix City, AL 36869","AL"
"1066",6823,"3052 HIGHWAY 80 W","CALHOUN","LA",71225,"3052 Highway 80 W, Calhoun, LA 71225","GA"
"1067",6825,"3176 BARATARIA-STE/H","MARRERO","LA",70072,"3176 Barataria Blvd, Marrero, LA 70072","LA"
"1068",6826,"6345 MAIN HWY","SAINT MARTINVILLE","LA",70582,"6345 Main Hwy, St Martinville, LA 70582","LA"
"1069",6838,"5831 OLD PEARSALL RD","SAN ANTONIO","TX",78242,"5831 Old Pearsall Rd, San Antonio, TX 78242","TX"
"1070",6839,"1575 W HWY 77","SAN BENITO","TX",78586,"1575 W Us Highway 77, San Benito, TX 78586","TX"
"1071",6841,"1328 WATERLOO GENEVA RD","WATERLOO","NY",13165,"1328 Waterloo Geneva Rd, Waterloo, NY 13165","IL"
"1072",6844,"8454 S SCENIC HWY","BLAND","VA",24315,"8454 S Scenic Hwy, Bland, VA 24315","VA"
"1073",6857,"207 EASTSIDE BLVD","MUSKOGEE","OK",74403,"207 East Side Blvd, Muskogee, OK 74403","OK"
"1074",6870,"225 W LINCOLN ST","ADAMS","WI",53910,"225 W Lincoln St, Adams, WI 53910","NY"
"1075",6875,"3711 FARRS BRIDGE RD","EASLEY","SC",29640,"3711 Farrs Bridge Rd, Easley, SC 29640","SC"
"1076",6876,"395 E STATE ST","BELDING","MI",48809,"395 E State St, Belding, MI 48809","MI"
"1077",6882,"20260 GRATIOT RD","MERRILL","MI",48637,"20260 Gratiot Rd, Merrill, MI 48637","MI"
"1078",6886,"11611 US HIGHWAY 431 STE","GUNTERSVILLE","AL",35976,"11611 US-431, Guntersville, AL 35976","AL"
"1079",6894,"7415 TAZEWELL PIKE","CORRYTON","TN",37721,"7415 Tazewell Pike, Corryton, TN 37721","TN"
"1080",6904,"28525  NY STATE RT 3","BLACK RIVER","NY",13612,"28525 NY-3, Black River, NY 13612","NY"
"1081",6906,"512 E MAPLE ST","CANEYVILLE","KY",42721,"512 W Maple St, Caneyville, KY 42721","KY"
"1082",6907,"602 W DUVAL ST","TROUP","TX",75789,"602 W Duval St, Troup, TX 75789","TX"
"1083",6909,"907 NORTH HIGHWAY 287","GRAPELAND","TX",75844,"907 US-287, Grapeland, TX 75844","TX"
"1084",6913,"2412 RAUL LONGORIA RD","SAN JUAN","TX",78589,"2412 N Raul Longoria Rd, San Juan, TX 78589","TX"
"1085",6916,"530 S RIVERVIEW DRIVE","PARCHMENT","MI",49004,"530 S Riverview Dr, Parchment, MI 49004","MI"
"1086",6919,"2400A W HWY 290","DRIPPING SPRINGS","TX",78620,"2400 W Hwy 290, Dripping Springs, TX 78620","TX"
"1087",6920,"726 N MAIN ST","LAWTON","Lawton,",73501,"Lawton, OK 73501","OK"
"1088",6921,"5154 PECK RD","CROSWELL","MI",48422,"5154 Peck Rd, Croswell, MI 48422","MI"
"1089",6935,"9604 UNIVERSITY AVE","LUBBOCK","TX",79423,"9604 University Ave, Lubbock, TX 79423","TX"
"1090",6937,"825 N TEGNER ST","WICKENBURG","AZ",85390,"825 N Tegner St, Wickenburg, AZ 85390","AZ"
"1091",6939,"5181 W HWY 68","GOLDEN VALLEY","AZ",86413,"5181 AZ-68, Golden Valley, AZ 86413","AZ"
"1092",6944,"9312 STATE HIGHWAY 75 S","NEW WAVERLY","TX",77358,"9312 S State Hwy 75, New Waverly, TX 77358","TX"
"1093",6949,"316 HIGHWAY 70","PEGRAM","TN",37143,"316 Highway 70, Pegram, TN 37143","TN"
"1094",6951,"1405 E OAK ST","ARCADIA","LA",71001,"1405 Oak St, Arcadia, LA 71001","LA"
"1095",6954,"507 N JACKSON ST","GREENCASTLE","IN",46135,"507 N Jackson St, Greencastle, IN 46135","IN"
"1096",6957,"403 RICHMOND RD N","BEREA","KY",40403,"403 Richmond Rd N, Berea, KY 40403","KY"
"1097",6961,"5401 TAYLOR LN","BARTLESVILLE","OK",74006,"5401 Taylor Ln, Bartlesville, OK 74006","OK"
"1098",6962,"183 E RED CROSS RD","OAKBORO","NC",28129,"183 E Red Cross Rd, Oakboro, NC 28129","NC"
"1099",6963,"4037 STATE ROUTE 159","SMITHTON","IL",62285,"4037 IL-159, Smithton, IL 62285","IL"
"1100",6964,"234 E MAIN ST","SOMERSET","KY",42501,"234 N Main St, Somerset, KY 42501","KY"
"1101",6966,"289 S CHURCH ST","BERLIN","Berlin,",21811,"Berlin, MD 21811","MD"
"1102",6974,"510 S CROCKETT AVE","SONORA","TX",76950,"510 S Crockett Ave, Sonora, TX 76950","KY"
"1103",6976,"3001 N ELM ST STE 100","DENTON","TX",76207,"3001 N Elm St, Denton, TX 76207","TX"
"1104",6979,"30 HOWSER MILL RD","DAWSONVILLE","GA",30534,"30 Howser Mill Rd, Dawsonville, GA 30534","GA"
"1105",6989,"4960 GAUTIER VANCLEAVE RD","GAUTIER","MS",39553,"4960 Gautier Vancleave Rd, Gautier, MS 39553","MS"
"1106",7012,"642 S MAIN ST","WELLINGTON","OH",44090,"642 S Main St, Wellington, OH 44090","KS"
"1107",7014,"1001 E MCPHERSON HWY","CLYDE","OH",43410,"1001 E McPherson Hwy, Clyde, OH 43410","TX"
"1108",7015,"3038 S PHILLIPS RD","LANETT","AL",36863,"3038 S Phillips Rd, Lanett, AL 36863","AL"
"1109",7019,"573 HIGHWAY 78 W","JASPER","AL",35501,"573 Hwy 78 W, Jasper, AL 35501","TN"
"1110",7023,"226 S. HOLLYWOOD RD","HOUMA","LA",70360,"226 S Hollywood Rd, Houma, LA 70360","LA"
"1111",7025,"1309 STARK RD","STARKVILLE","MS",39759,"1309 Stark Rd, Starkville, MS 39759","MS"
"1112",7031,"1018 3RD AVE","DUNGANNON","VA",24245,"1018 3rd Ave, Dungannon, VA 24245","VA"
"1113",7048,"4645 HIGHWAY 146","BACLIFF","TX",77518,"4645 TX-146, Bacliff, TX 77518","TX"
"1114",7049,"1498 S HIGHWAY 29","CANTONMENT","FL",32533,"1498 S Hwy 29, Cantonment, FL 32533","FL"
"1115",7050,"1609 E MCKINNEY ST","DENTON","TX",76209,"1609 E McKinney St, Denton, TX 76209","TX"
"1116",7057,"7118 HIGHWAY 278 NE","COVINGTON","GA",30014,"7118 Hwy 278 NE, Covington, GA 30014","TN"
"1117",7058,"2148 N 7 HWY","BLUE SPRINGS","MO",64014,"2148 MO-7, Blue Springs, MO 64014","MO"
"1118",7060,"411 WYTHE CREEK RD","POQUOSON","VA",23662,"411 Wythe Creek Rd, Poquoson, VA 23662","VA"
"1119",7063,"820 CASSELMAN ST","CONFLUENCE","PA",15424,"820 Casselman St, Confluence, PA 15424","PA"
"1120",7064,"113 RACETRACK RD NW","FORT WALTON BEACH","FL",32547,"113 Racetrack Rd NW, Fort Walton Beach, FL 32547","FL"
"1121",7072,"536 N MAIN ST","EL DORADO","AR",71749,"536 N Main St, Junction City, AR 71749","AR"
"1122",7076,"1745 HWY 15 S","SUMTER","SC",29150,"1745 Hwy 15 S, Sumter, SC 29150","SC"
"1123",7086,"1468 PIEDMONT RD","PIEDMONT","Benton",63957,"Benton Township, MO 63957","MO"
"1124",7087,"13886 E 146TH ST N","COLLINSVILLE","OK",74021,"13886 E 146th St N, Collinsville, OK 74021","IL"
"1125",7092,"114 MAIN ST S","BETHUNE","SC",29009,"114 Main St S, Bethune, SC 29009","SC"
"1126",7097,"312 KING ST","HAMLET","NC",28345,"312 King St, Hamlet, NC 28345","NC"
"1127",7102,"2535 W KEARNEY ST","SPRINGFIELD","MO",65803,"2535 W Kearney St, Springfield, MO 65803","TN"
"1128",7110,"1201 CHERRYWOOD DR","LA GRANGE","KY",40031,"1201 Cherrywood Dr, La Grange, KY 40031","TX"
"1129",7112,"700 NEW HIGHWAY 11 N","BOONEVILLE","AR",72927,"675 E Main St, Booneville, AR 72927","AR"
"1130",7114,"115 WEATHERHOLT DR","NEW BADEN","IL",62265,"115 Weatherholt Dr, New Baden, IL 62265","IL"
"1131",7115,"1005 HWY 28","BELLE","MO",65013,"1005 Hwy 28, Belle, MO 65013","MO"
"1132",7117,"1510 28TH ST","BELLEVILLE","IL",62226,"1510 S 28th St, Belleville, IL 62226","IL"
"1133",7120,"1105 SOUTH MAIN STREET","SCOTT CITY","MO",63780,"1105 Bridge St, Scott City, MO 63780","MO"
"1134",7124,"100 N FRY ST","YATES CENTER","KS",66783,"100 N Fry St, Yates Center, KS 66783","KS"
"1135",7133,"3051 HARTLEY BRIDGE RD","MACON","GA",31216,"3051 Hartley Bridge Rd, Macon, GA 31216","MO"
"1136",7137,"1640 N MAIN ST","PRINCETON","WV",24740,"1640 W Main St, Princeton, WV 24740","WV"
"1137",7139,"115 ROBERTS RD","GRINDSTONE","PA",15442,"115 Roberts Rd, Grindstone, PA 15442","PA"
"1138",7141,"2207 S HIGHWAY 77","LYNN HAVEN","FL",32428,"2207 FL-77, Chipley, FL 32428","FL"
"1139",7144,"6043 US 301 S","FOUR OAKS","NC",27524,"6043 US-301, Four Oaks, NC 27524","NC"
"1140",7146,"515 3RD ST","INDEPENDENCE","KS",67301,"515 S 3rd St, Independence, KS 67301","KS"
"1141",7153,"1207 GILMORE LN","LOUISVILLE","KY",40213,"1207 Gilmore Ln, Louisville, KY 40213","KY"
"1142",7156,"398 S EIGHTY EIGHT RD","CARMICHAELS","PA",15320,"398 S Eighty Eight Rd, Carmichaels, PA 15320","PA"
"1143",7158,"3849 S MAIN ST","AKRON","OH",44319,"3849 S Main St, Akron, OH 44319","OH"
"1144",7159,"545 FLEMING DR E","MORGANTON","NC",28655,"545 E Fleming Dr, Morganton, NC 28655","NC"
"1145",7165,"69 N MAGNOLIA AVE","HUBBARD","TX",76648,"69 N Magnolia Ave, Hubbard, TX 76648","OH"
"1146",7168,"1646 EBENEZER RD","ROCK HILL","SC",29732,"1646 Ebenezer Rd, Rock Hill, SC 29732","SC"
"1147",7171,"1310 E 1ST ST","PRATT","KS",67124,"1310 E 1st St, Pratt, KS 67124","KS"
"1148",7172,"6391 HIRAM DOUGLASVILLE H","POWDER SPRINGS","GA",30127,"6391 Hiram Douglasville Hwy, Powder Springs, GA 30127","GA"
"1149",7177,"41065 HIGHWAY 42","GALVEZ","LA",70769,"41065 LA-42, Prairieville, LA 70769","LA"
"1150",7184,"5120 WARM SPRINGS RD","COLUMBUS","GA",31909,"5120 Warm Springs Rd, Columbus, GA 31909","KS"
"1151",7189,"808 N TEXAS ST STE 16","DE LEON","TX",76444,"808 N Texas St, De Leon, TX 76444","TX"
"1152",7199,"1102 N 4TH ST","SAYRE","OK",73662,"1102 N 4th St, Sayre, OK 73662","OK"
"1153",7205,"920 S BURLESON","MCCAMEY","TX",79752,"920 S Burleson Ave, McCamey, TX 79752","TX"
"1154",7211,"615 S STANDARD AVE","SAN JUAN","TX",78589,"615 S Standard Ave, San Juan, TX 78589","TX"
"1155",7212,"3215 N 5TH STREET HWY","READING","PA",19605,"3215 N 5th Street Hwy, Reading, PA 19605","PA"
"1156",7225,"103 WADE AVE","LOUISBURG","NC",27549,"103 Wade Ave, Louisburg, NC 27549","NC"
"1157",7229,"805 11TH AVE SW","WAUKON","IA",52172,"805 11th Ave SW, Waukon, IA 52172","IA"
"1158",7231,"1726 S KANSAS EXPY","SPRINGFIELD","MO",65807,"1726 S Kansas Expy, Springfield, MO 65807","TN"
"1159",7233,"3240 W CHESTNUT EXPY","SPRINGFIELD","MO",65802,"3240 W Chestnut Expy, Springfield, MO 65802","TN"
"1160",7235,"715 ARLINGTON RD","BROOKVILLE","OH",45309,"715 Arlington Rd, Brookville, OH 45309","PA"
"1161",7241,"1712 TROY DRIVE","FAYETTEVILLE","NC",28312,"1712 Troy Dr, Fayetteville, NC 28312","AR"
"1162",7248,"520 CHURCHILL RD","GIRARD",NA,NA,NA,"KS"
"1163",7266,"307 S MAIN ST","WOLCOTTVILLE","IN",46795,"307 S Main St, Wolcottville, IN 46795","IN"
"1164",7278,"122 S FAIRFIELD ST","LIGONIER","PA",15658,"122 S Fairfield St, Ligonier, PA 15658","IN"
"1165",7288,"605 W. FRONT STREET","IVA","SC",29655,"605 W Front St, Iva, SC 29655","SC"
"1166",7290,"812 N WALNUT ST","AVOCA","IA",51521,"812 N Walnut St, Avoca, IA 51521","IA"
"1167",7291,"109 W WASHINGTON","OSBORNE","KS",67473,"109 W Washington St, Osborne, KS 67473","KS"
"1168",7296,"3812 WESLEY ST","GREENVILLE","TX",75401,"3812 Wesley St, Greenville, TX 75401","SC"
"1169",7299,"3119 E VAN BUREN","EUREKA SPRINGS","AR",72632,"3119 E Van Buren, Eureka Springs, AR 72632","AR"
"1170",7300,"1206 ALBERTSON PKWY","BROUSSARD","LA",70518,"1206 Albertson Pkwy, Broussard, LA 70518","LA"
"1171",7305,"421 GATEWAY DR","GRIMES","IA",50111,"421 SE Gateway Dr, Grimes, IA 50111","IA"
"1172",7309,"90 CANAL PL","PHILADELPHIA","MS",39350,"90 Canal Pl, Philadelphia, MS 39350","MS"
"1173",7311,"102 HWY 19 S","ALTON","MO",65606,"102 MO-19, Alton, MO 65606","IL"
"1174",7314,"610 S BROADWAY","COALGATE","OK",74538,"610 S Broadway St, Coalgate, OK 74538","OK"
"1175",7319,"1242 HIGHWAY 770","CORBIN","KY",40701,"1242 KY-770, Corbin, KY 40701","KY"
"1176",7321,"2321 STUART PLACE RD","HARLINGEN","TX",78552,"2321 Stuart Place Rd, Harlingen, TX 78552","TX"
"1177",7324,"220 MCCAMBRIDGE AVE","MADISON","IL",62060,"220 McCambridge Ave, Madison, IL 62060","NC"
"1178",7333,"11111 N SHORE DR","HILLSBORO","OH",45133,"11111 N Shore Dr, Hillsboro, OH 45133","TX"
"1179",7336,"495 N PINAL PKWY AVE STE 100","FLORENCE","AZ",85132,"495 N Pinal Pkwy Ave, Florence, AZ 85132","AL"
"1180",7337,"3300 N KICKAPOO AVE","SHAWNEE","OK",74804,"3300 N Kickapoo Ave, Shawnee, OK 74804","OK"
"1181",7343,"101 RODEWALD DR","RUSHVILLE","IL",62681,"101 Rodewald Dr, Rushville, IL 62681","IN"
"1182",7346,"6800 CORWIN AVE","WAYNESVILLE","OH",45068,"6800 Corwin Ave, Waynesville, OH 45068","MO"
"1183",7347,"210 BOBBITT AVE","LYNCHBURG","OH",45142,"210 Bobbitt Ave, Lynchburg, OH 45142","VA"
"1184",7352,"2167 E SILVER SPRINGS BLVD","OCALA","FL",34470,"2167 E Silver Springs Blvd, Ocala, FL 34470","FL"
"1185",7356,"4471 SPRINGHILL DRIVE","OWENSBORO","KY",42303,"4471 Springhill Dr, Owensboro, KY 42303","KY"
"1186",7360,"1736 MERRIMAN RD","AKRON","OH",44313,"1736 Merriman Rd, Akron, OH 44313","OH"
"1187",7364,"36321 ST HWY 79 STE 1","CLEVELAND","AL",35049,"36321 St Hwy 79, Ste 1, Cleveland, AL 35049","TN"
"1188",7374,"635 FRONT STREET","SULLIGENT","AL",35586,"635 E Front St, Sulligent, AL 35586","AL"
"1189",7385,"39240 HIGHWAY 82","ITTA BENA","MS",38941,"39240 Highway 82, Itta Bena, MS 38941","MS"
"1190",7389,"832 EAST CHATHAM STREET","CARY","NC",27511,"832 E Chatham St, Cary, NC 27511","NC"
"1191",7400,"301 BEVERLY PKWY","PENSACOLA","FL",32505,"301 Beverly Pkwy, Pensacola, FL 32505","FL"
"1192",7401,"705 W 9TH ST N","LADYSMITH","WI",54848,"705 W 9th St N, Ladysmith, WI 54848","WI"
"1193",7402,"6120 DIXIE HWY","FAIRFIELD","OH",45014,"6120 Dixie Hwy, Fairfield, OH 45014","IL"
"1194",7413,"516 CHESTER AVE","GREAT FALLS","SC",29055,"516 Chester Ave, Great Falls, SC 29055","SC"
"1195",7416,"112 S WASHINGTON ST","MASONTOWN","PA",15461,"112 S Washington St, Masontown, PA 15461","PA"
"1196",7417,"1407 S 11TH ST","GADSDEN","AL",35904,"1407 S 11th St, Gadsden, AL 35904","AL"
"1197",7421,"4423 S NC HIGHWAY 150 STE","LEXINGTON","NC",27295,"4423 NC-150, Lexington, NC 27295","MO"
"1198",7423,"1341 N NC HIGHWAY 49","GREEN LEVEL","NC",27217,"1341 NC-49, Burlington, NC 27217","NC"
"1199",7425,"18805 S US HIGHWAY 281","SAN ANTONIO","TX",78221,"18805 US-281, San Antonio, TX 78221","TX"
"1200",7440,"317 E HIGHWAY 20","ONEILL","NE",68763,"317 Hwy 20, O'Neill, NE 68763","NE"
"1201",7444,"170 MORGAN MILL RD","STEPHENVILLE","TX",76401,"170 Morgan Mill Rd, Stephenville, TX 76401","TX"
"1202",7450,"7269 KY HWY 1194","STANFORD","KY",40484,"7269 Ky Hwy 1194, Stanford, KY 40484","KY"
"1203",7451,"214 CHAFIN ST","NORMAN PARK","GA",31771,"214 Chafin St, Norman Park, GA 31771","GA"
"1204",7453,"1364 SOUTH RANDOLPH ST","GARRETT","IN",46738,"1364 S Randolph St, Garrett, IN 46738","IN"
"1205",7457,"3139 DUNN AVE","JACKSONVILLE","FL",32218,"3139 Dunn Ave, Jacksonville, FL 32218","FL"
"1206",7458,"324 FRANKLIN ST","SLIPPERY ROCK","PA",16057,"324 Franklin St, Slippery Rock, PA 16057","PA"
"1207",7460,"1103 E BROADWAY","LEOTI","KS",67861,"1103 E Broadway, Leoti, KS 67861","KS"
"1208",7461,"381 E FIRST ST","GROVETON","TX",75845,"381 E 1st St, Groveton, TX 75845","TX"
"1209",7466,"962 S MAPLE SR37","ORLEANS","IN",47452,"962 S Maple St, Orleans, IN 47452","IN"
"1210",7469,"903 E PARK ROW DR","ARLINGTON","TX",76010,"903 E Park Row Dr, Arlington, TX 76010","TX"
"1211",7470,"474 HIGHWAY 24 E","CENTREVILLE","MS",39631,"474 MS-24, Centreville, MS 39631","MS"
"1212",7476,"240 AIRPORT RD","GREENVILLE","SC",29607,"240 Airport Rd, Greenville, SC 29607","SC"
"1213",7484,"12231 HWY 96","MILLPORT","AL",35576,"12231 Hwy 96, Millport, AL 35576","AL"
"1214",7489,"1106 NW 2ND ST","KERENS","TX",75144,"1106 NW 2nd St, Kerens, TX 75144","TX"
"1215",7493,"360 BUTTERNUT DR","HOLLAND","MI",49424,"360 Butternut Dr, Holland, MI 49424","MI"
"1216",7504,"6102 US HIGHWAY 87 E","SAN ANTONIO","TX",78222,"6102 US Hwy 87 E, San Antonio, TX 78222","TX"
